date,country,apl-driving,apl-transit,apl-walking
2020-04-06,BRA,45.53,24.12,36.09
2020-04-07,BRA,48.59,23.47,38.32
2020-04-08,BRA,51.93,23.39,40.39
2020-04-09,BRA,58.89,23.16,45.27
2020-04-10,BRA,44.88,18.19,32.17
2020-04-11,BRA,58.22,19.19,42.94
2020-04-12,BRA,36.49,15.71,25.18
2020-04-13,BRA,46.79,24.36,37.69
2020-04-14,BRA,47.91,23.03,37.98
2020-04-15,BRA,49.89,23.5,39.29
2020-04-16,BRA,50.47,23.4,39.36
2020-04-17,BRA,56.91,22.2,42.1
2020-04-18,BRA,56.26,19.51,39.17
2020-04-19,BRA,38.14,17.0,26.98
2020-04-20,BRA,51.62,22.93,39.71
2020-04-21,BRA,45.15,19.84,32.11
2020-04-22,BRA,53.67,25.37,43.53
2020-04-23,BRA,55.04,24.45,44.0
2020-04-24,BRA,59.39,24.37,45.0
2020-04-25,BRA,59.43,21.21,42.06
2020-04-26,BRA,40.2,18.21,27.92
2020-04-27,BRA,51.35,25.24,40.94
alternative_name,BGR,България,,България
2020-01-13,BGR,100.0,,100.0
2020-01-14,BGR,102.56,,101.9
2020-01-15,BGR,104.73,,99.61
2020-01-16,BGR,104.35,,100.06
2020-01-17,BGR,114.79,,117.97
