date,country,isolation
2020-04-14,RU-RYA,2.4
2020-04-15,RU-RYA,2.5
2020-04-16,RU-RYA,2.5
2020-04-17,RU-RYA,2.4
2020-04-18,RU-RYA,3.4
2020-04-19,RU-RYA,3.8
2020-02-23,RU-SMO,2.7
2020-02-24,RU-SMO,2.7
2020-02-25,RU-SMO,0.6
2020-02-26,RU-SMO,0.7
2020-02-27,RU-SMO,0.7
2020-02-28,RU-SMO,0.6
2020-02-29,RU-SMO,2.2
2020-03-01,RU-SMO,2.9
2020-03-02,RU-SMO,0.7
2020-03-03,RU-SMO,0.6
2020-03-04,RU-SMO,0.5
2020-03-05,RU-SMO,0.5
2020-03-06,RU-SMO,0.7
2020-03-07,RU-SMO,2.0
2020-03-08,RU-SMO,2.6
2020-03-09,RU-SMO,2.6
2020-03-10,RU-SMO,0.6
2020-03-11,RU-SMO,0.6
2020-03-12,RU-SMO,0.6
2020-03-13,RU-SMO,0.7
2020-03-14,RU-SMO,2.2
2020-03-15,RU-SMO,2.9
2020-03-16,RU-SMO,0.7
2020-03-17,RU-SMO,0.7
2020-03-18,RU-SMO,0.7
2020-03-19,RU-SMO,1.0
2020-03-20,RU-SMO,1.0
2020-03-21,RU-SMO,2.4
2020-03-22,RU-SMO,3.0
2020-03-23,RU-SMO,1.2
2020-03-24,RU-SMO,1.1
2020-03-25,RU-SMO,1.0
2020-03-26,RU-SMO,1.0
2020-03-27,RU-SMO,1.0
2020-03-28,RU-SMO,2.4
2020-03-29,RU-SMO,3.1
2020-03-30,RU-SMO,2.6
2020-03-31,RU-SMO,2.8
2020-04-01,RU-SMO,3.1
2020-04-02,RU-SMO,3.2
2020-04-03,RU-SMO,3.1
2020-04-04,RU-SMO,3.7
2020-04-05,RU-SMO,3.8
2020-04-06,RU-SMO,2.6
2020-04-07,RU-SMO,2.5
2020-04-08,RU-SMO,2.5
2020-04-09,RU-SMO,2.4
2020-04-10,RU-SMO,2.4
2020-04-11,RU-SMO,3.3
2020-04-12,RU-SMO,3.5
2020-04-13,RU-SMO,2.2
2020-04-14,RU-SMO,2.3
2020-04-15,RU-SMO,2.4
2020-04-16,RU-SMO,2.5
2020-04-17,RU-SMO,2.4
2020-04-18,RU-SMO,3.3
2020-04-19,RU-SMO,3.7
2020-02-23,RU-TAM,2.7
2020-02-24,RU-TAM,2.9
2020-02-25,RU-TAM,0.8
2020-02-26,RU-TAM,0.7
2020-02-27,RU-TAM,0.7
2020-02-28,RU-TAM,0.9
2020-02-29,RU-TAM,2.1
2020-03-01,RU-TAM,2.6
2020-03-02,RU-TAM,0.8
2020-03-03,RU-TAM,0.7
2020-03-04,RU-TAM,0.6
2020-03-05,RU-TAM,0.6
2020-03-06,RU-TAM,0.7
2020-03-07,RU-TAM,2.1
2020-03-08,RU-TAM,2.4
2020-03-09,RU-TAM,2.7
2020-03-10,RU-TAM,0.5
2020-03-11,RU-TAM,0.5
2020-03-12,RU-TAM,0.7
2020-03-13,RU-TAM,0.7
2020-03-14,RU-TAM,2.1
2020-03-15,RU-TAM,3.0
2020-03-16,RU-TAM,0.9
2020-03-17,RU-TAM,1.0
2020-03-18,RU-TAM,1.0
2020-03-19,RU-TAM,1.2
2020-03-20,RU-TAM,1.2
2020-03-21,RU-TAM,2.5
2020-03-22,RU-TAM,3.1
2020-03-23,RU-TAM,1.4
2020-03-24,RU-TAM,1.2
2020-03-25,RU-TAM,1.1
2020-03-26,RU-TAM,1.1
2020-03-27,RU-TAM,1.1
2020-03-28,RU-TAM,2.8
2020-03-29,RU-TAM,3.3
2020-03-30,RU-TAM,2.7
2020-03-31,RU-TAM,2.9
2020-04-01,RU-TAM,3.3
2020-04-02,RU-TAM,3.3
2020-04-03,RU-TAM,3.2
2020-04-04,RU-TAM,3.6
2020-04-05,RU-TAM,3.8
2020-04-06,RU-TAM,2.8
2020-04-07,RU-TAM,2.6
2020-04-08,RU-TAM,2.6
2020-04-09,RU-TAM,2.4
2020-04-10,RU-TAM,2.4
2020-04-11,RU-TAM,3.2
2020-04-12,RU-TAM,3.6
2020-04-13,RU-TAM,2.3
2020-04-14,RU-TAM,2.2
