date,city,value
2020-03-24,Москва,1.3
2020-03-25,Москва,1.3
2020-03-26,Москва,1.3
2020-03-27,Москва,1.3
2020-03-28,Москва,2.9
2020-03-29,Москва,3.4
2020-03-30,Москва,3.2
2020-03-31,Москва,3.4
2020-04-01,Москва,3.4
2020-04-02,Москва,3.5
2020-04-03,Москва,3.4
2020-04-04,Москва,3.8
2020-04-05,Москва,4.0
2020-04-06,Москва,3.1
2020-03-02,Ереван,1.2
2020-03-03,Ереван,1.1
2020-03-04,Ереван,1.0
2020-03-05,Ереван,1.0
2020-03-06,Ереван,1.0
2020-03-07,Ереван,1.6
2020-03-08,Ереван,2.1
2020-03-09,Ереван,0.6
2020-03-10,Ереван,0.5
2020-03-11,Ереван,0.6
2020-03-12,Ереван,0.6
2020-03-13,Ереван,1.1
2020-03-14,Ереван,2.1
2020-03-15,Ереван,2.7
2020-03-16,Ереван,1.7
2020-03-17,Ереван,2.2
2020-03-18,Ереван,2.4
2020-03-19,Ереван,2.4
2020-03-20,Ереван,2.3
2020-03-21,Ереван,2.8
2020-03-22,Ереван,3.3
2020-03-23,Ереван,2.2
2020-03-24,Ереван,2.3
2020-03-25,Ереван,3.2
2020-03-26,Ереван,3.3
2020-03-27,Ереван,3.3
2020-03-28,Ереван,3.6
2020-03-29,Ереван,4.0
2020-03-30,Ереван,3.2
2020-03-31,Ереван,3.2
2020-04-01,Ереван,3.1
2020-04-02,Ереван,3.2
2020-04-03,Ереван,3.2
2020-04-04,Ереван,3.6
2020-04-05,Ереван,3.7
2020-04-06,Ереван,3.1
2020-03-02,Россия,0.9
2020-03-03,Россия,0.8
2020-03-04,Россия,0.8
2020-03-05,Россия,0.7
2020-03-06,Россия,0.8
2020-03-07,Россия,2.2
2020-03-08,Россия,2.6
2020-03-09,Россия,2.8
2020-03-10,Россия,0.9
2020-03-11,Россия,0.8
2020-03-12,Россия,0.8
2020-03-13,Россия,0.8
2020-03-14,Россия,2.2
2020-03-15,Россия,3.0
2020-03-16,Россия,1.0
2020-03-17,Россия,1.0
2020-03-18,Россия,1.1
2020-03-19,Россия,1.2
2020-03-20,Россия,1.2
2020-03-21,Россия,2.6
2020-03-22,Россия,3.1
2020-03-23,Россия,1.4
2020-03-24,Россия,1.4
2020-03-25,Россия,1.4
2020-03-26,Россия,1.4
2020-03-27,Россия,1.4
2020-03-28,Россия,3.0
2020-03-29,Россия,3.6
2020-03-30,Россия,2.9
2020-03-31,Россия,3.1
2020-04-01,Россия,3.5
2020-04-02,Россия,3.6
2020-04-03,Россия,3.5
2020-04-04,Россия,3.9
2020-04-05,Россия,4.1
2020-04-06,Россия,3.2
